2022-01-01 78
2022-01-02 82
2022-01-03 103
2022-01-04 151
2022-01-05 388
2022-01-06 640
2022-01-07 920
2022-01-08 1223
2022-01-09 1223
2022-01-10 871
2022-01-11 959
2022-01-12 2196
2022-01-13 3121
2022-01-14 4055
2022-01-15 4559
2022-01-16 4166
2022-01-17 3713
2022-01-18 5181
2022-01-19 7366
2022-01-20 8634
2022-01-21 9695
2022-01-22 11217
2022-01-23 9460
2022-01-24 8493
2022-01-25 12797
2022-01-26 14077
2022-01-27 16525
2022-01-28 17610
2022-01-29 17424
2022-01-30 15893
2022-01-31 11743
2022-02-01 14432
2022-02-02 21562
2022-02-03 20663
2022-02-04 19788
2022-02-05 21110
2022-02-06 17519
2022-02-07 12194
2022-02-08 17100
2022-02-09 18275
2022-02-10 18888
2022-02-11 18648
2022-02-12 11755
2022-02-13 13061
2022-02-14 10330
2022-02-15 15515
2022-02-16 17325
2022-02-17 17856
2022-02-18 16122
2022-02-19 13509
2022-02-20 12933
2022-02-21 8801
2022-02-22 11439
2022-02-23 14559
2022-02-24 10163
2022-02-25 11123
2022-02-26 11558
2022-02-27 10314
2022-02-28 9629
2022-03-01 11802
2022-03-02 12690
2022-03-03 12246
2022-03-04 10515
2022-03-05 10804
2022-03-06 9282
2022-03-07 5370
2022-03-08 8919
2022-03-09 10812
2022-03-10 10077
2022-03-11 8456
2022-03-12 9164
2022-03-13 8127
2022-03-14 4831
2022-03-15 7831
2022-03-16 10220
2022-03-17 8456
2022-03-18 7825
2022-03-19 7441
2022-03-20 6497
2022-03-21 3853
2022-03-22 3532
2022-03-23 6426
2022-03-24 8869
2022-03-25 7284
2022-03-26 7440
2022-03-27 7843
2022-03-28 4542
2022-03-29 7846
2022-03-30 9518
2022-03-31 8220
2022-04-01 7978
2022-04-02 7390
2022-04-03 7896
2022-04-04 4382
2022-04-05 6967
2022-04-06 8650
2022-04-07 8750
2022-04-08 8110
2022-04-09 8098
2022-04-10 8024
2022-04-11 4557
2022-04-12 6920
2022-04-13 8248
2022-04-14 8535
2022-04-15 6761
2022-04-16 6794
2022-04-17 5219
2022-04-18 3477
2022-04-19 5581
2022-04-20 6771
2022-04-21 6710
2022-04-22 5393
2022-04-23 5386
2022-04-24 4935
2022-04-25 3136
2022-04-26 5042
2022-04-27 6049
2022-04-28 5392
2022-04-29 3892
2022-04-30 2978
2022-05-01 3161
2022-05-02 2403
2022-05-03 3357
2022-05-04 2999
2022-05-05 2320
2022-05-06 2681
2022-05-07 3809
2022-05-08 4711
2022-05-09 3011
2022-05-10 4451
2022-05-11 4764
2022-05-12 4216
2022-05-13 4109
2022-05-14 3799
2022-05-15 3348
2022-05-16 2377
2022-05-17 3663
2022-05-18 4355
2022-05-19 4172
2022-05-20 3573
2022-05-21 3464
2022-05-22 3317
2022-05-23 2025
2022-05-24 3271
2022-05-25 3929
2022-05-26 3391
2022-05-27 2630
2022-05-28 2549
2022-05-29 2194
2022-05-30 1344
2022-05-31 2362
2022-06-01 2415
2022-06-02 2335
2022-06-03 2111
2022-06-04 2071
2022-06-05 1584
2022-06-06 1013
2022-06-07 1800
2022-06-08 1935
2022-06-09 1876
2022-06-10 1600
2022-06-11 1526
2022-06-12 1546
2022-06-13 960
2022-06-14 1528
2022-06-15 2015
2022-06-16 1819
2022-06-17 1596
2022-06-18 1681
2022-06-19 1622
