日付,最高気温,最高気温(平年),最低気温,最低気温(平年),平均気温,平均気温(平年)
2023/10/3,26.4,23.7,14.1,15.6,20.8,19.3
2023/10/4,20.3,23.6,16.7,15.5,17.7,19.2
2023/10/5,25.1,23.4,13.7,15.3,18.6,19.0
2023/10/6,26.0,23.2,10.2,15.1,17.8,18.8
2023/10/7,24.5,23.1,11.4,14.9,17.8,18.7
2023/10/8,19.9,22.9,12.7,14.7,15.6,18.5
2023/10/9,17.0,22.7,12.8,14.5,15.3,18.3
2023/10/10,25.7,22.5,14.6,14.3,19.5,18.1
2023/10/11,23.9,22.4,11.6,14.1,18.0,17.9
2023/10/12,23.2,22.2,13.5,13.9,18.2,17.7
2023/10/13,22.7,22.0,11.5,13.7,16.7,17.5
2023/10/14,22.3,21.8,8.9,13.4,16.0,17.3
2023/10/15,19.8,21.6,11.9,13.2,15.4,17.1
2023/10/16,25.4,21.4,9.5,13.0,17.6,16.9
2023/10/17,24.8,21.2,11.3,12.7,17.3,16.7
2023/10/18,24.6,21.0,10.3,12.5,17.7,16.4
2023/10/19,24.8,20.8,11.0,12.3,17.9,16.2
2023/10/20,28.6,20.6,12.6,12.0,20.1,16.0
2023/10/21,21.6,20.5,10.6,11.8,16.7,15.9
2023/10/22,19.8,20.3,6.0,11.6,13.4,15.7
2023/10/23,22.6,20.2,7.9,11.3,14.9,15.5
2023/10/24,23.1,20.0,8.8,11.1,15.7,15.3
2023/10/25,21.1,19.9,10.3,10.9,15.9,15.1
2023/10/26,23.6,19.8,9.1,10.6,16.1,14.9
2023/10/27,23.4,19.7,9.1,10.4,15.3,14.7
2023/10/28,21.0,19.5,11.3,10.2,15.6,14.5
2023/10/29,20.4,19.4,9.2,9.9,14.4,14.4
2023/10/30,22.1,19.3,7.5,9.7,14.7,14.2
2023/10/31,20.0,19.1,10.3,9.5,15.1,14.0
2023/11/1,23.2,19.0,9.5,9.3,15.7,13.8
2023/11/2,25.7,18.8,8.8,9.1,16.7,13.6
2023/11/3,24.8,18.7,8.5,8.9,16.5,13.5
2023/11/4,25.3,18.5,10.0,8.7,17.4,13.3
2023/11/5,23.2,18.4,14.8,8.5,18.7,13.1
2023/11/6,25.2,18.2,14.8,8.3,20.7,12.9
2023/11/7,23.8,18.0,13.2,8.2,20.6,12.8
2023/11/8,21.1,17.8,10.0,8.0,14.8,12.6
2023/11/9,20.7,17.6,11.3,7.8,15.4,12.4
2023/11/10,16.4,17.4,10.0,7.6,13.6,12.2
2023/11/11,15.2,17.2,9.7,7.4,12.4,12.0
2023/11/12,10.1,17.0,8.1,7.2,9.3,11.8
2023/11/13,15.9,16.8,3.4,6.9,9.1,11.6
2023/11/14,18.0,16.6,1.3,6.7,10.0,11.4
2023/11/15,14.2,16.4,6.4,6.5,10.7,11.2
2023/11/16,17.3,16.2,4.4,6.3,11.0,10.9
2023/11/17,13.9,16.0,7.5,6.1,11.0,10.7
2023/11/18,16.2,15.8,3.9,5.9,9.4,10.5
2023/11/19,19.1,15.7,1.8,5.7,10.2,10.3
2023/11/20,18.5,15.5,3.7,5.5,9.9,10.1
2023/11/21,17.0,15.3,2.0,5.3,9.1,10.0
2023/11/22,19.6,15.1,3.5,5.1,11.3,9.8
2023/11/23,20.8,15.0,8.0,5.0,12.8,9.6
2023/11/24,23.1,14.8,5.6,4.8,13.7,9.5
2023/11/25,13.5,14.7,3.1,4.6,8.2,9.3
2023/11/26,8.3,14.5,4.3,4.5,6.8,9.2
2023/11/27,15.5,14.4,3.9,4.3,9.9,9.0
2023/11/28,21.5,14.2,5.1,4.2,11.8,8.8
2023/11/29,17.7,14.0,1.8,4.0,9.1,8.7
2023/11/30,15.9,13.9,2.4,3.8,8.1,8.5
2023/12/1,10.5,13.7,2.1,3.6,5.9,8.3
2023/12/2,12.0,13.6,-0.5,3.4,5.7,8.2
2023/12/3,15.2,13.4,-0.2,3.2,6.5,8.0
2023/12/4,13.0,13.2,-1.0,3.0,5.9,7.8
2023/12/5,9.3,13.1,1.4,2.8,6.2,7.6
2023/12/6,16.2,12.9,5.8,2.6,10.2,7.4
2023/12/7,20.5,12.8,3.0,2.4,10.1,7.2
2023/12/8,17.0,12.6,0.5,2.2,8.7,7.0
2023/12/9,17.5,12.5,2.1,2.0,9.3,6.8
2023/12/10,19.9,12.3,3.1,1.8,11.1,6.7
2023/12/11,14.5,12.2,6.5,1.5,11.1,6.5
2023/12/12,17.6,12.0,9.1,1.4,12.4,6.3
2023/12/13,15.2,11.9,3.4,1.2,9.1,6.2
2023/12/14,12.8,11.8,2.7,1.0,7.7,6.0
2023/12/15,12.7,11.7,7.8,0.8,9.8,5.9
2023/12/16,20.5,11.6,8.3,0.7,15.4,5.7
2023/12/17,16.2,11.5,0.4,0.5,9.7,5.6
2023/12/18,10.3,11.4,-2.2,0.4,3.6,5.5
2023/12/19,9.1,11.3,0.4,0.2,4.9,5.4
2023/12/20,13.5,11.2,1.9,0.1,6.6,5.2
2023/12/21,12.5,11.1,-0.9,-0.1,5.3,5.1
2023/12/22,9.7,11.0,-3.9,-0.2,3.3,5.0
2023/12/23,9.4,10.9,-4.9,-0.3,2.5,4.9
2023/12/24,8.1,10.8,-2.2,-0.5,2.2,4.8
2023/12/25,11.3,10.7,-3.1,-0.6,3.8,4.6
2023/12/26,12.6,10.6,-3.3,-0.8,4.6,4.5
2023/12/27,11.6,10.5,-1.9,-0.9,5.1,4.4
2023/12/28,9.6,10.5,0.2,-1.1,5.1,4.3
2023/12/29,14.7,10.4,-1.4,-1.2,6.1,4.1
2023/12/30,13.9,10.3,-0.6,-1.3,6.3,4.0
2023/12/31,12.8,10.2,3.1,-1.4,7.6,4.0
2024/1/1,12.3,10.2,0.0,-1.5,7.3,3.9
2024/1/2,7.5,10.1,-1.0,-1.6,3.3,3.8
2024/1/3,12.7,10.0,-1.4,-1.6,5.9,3.7
2024/1/4,15.0,10.0,0.2,-1.7,7.7,3.7
2024/1/5,13.5,9.9,-2.2,-1.7,4.9,3.6
2024/1/6,15.3,9.8,-1.4,-1.7,6.4,3.6
2024/1/7,11.5,9.7,-0.5,-1.8,5.8,3.6
2024/1/8,9.8,9.6,-1.6,-1.8,3.8,3.5
2024/1/9,11.0,9.5,-3.5,-1.8,2.8,3.5
2024/1/10,12.2,9.5,-2.6,-1.8,4.8,3.5
2024/1/11,7.9,9.4,-3.2,-1.8,3.0,3.4
2024/1/12,13.5,9.3,-5.1,-1.7,3.8,3.4
2024/1/13,11.7,9.2,-2.5,-1.7,3.1,3.4
2024/1/14,11.3,9.1,-5.6,-1.7,2.6,3.4
2024/1/15,12.1,9.1,-2.2,-1.7,4.0,3.3
2024/1/16,7.9,9.0,-4.4,-1.7,2.5,3.3
2024/1/17,11.3,9.0,-4.8,-1.7,3.4,3.3
2024/1/18,14.2,8.9,-1.2,-1.7,7.0,3.3
2024/1/19,14.5,8.9,3.9,-1.7,9.0,3.3
2024/1/20,7.6,8.9,4.3,-1.7,5.6,3.3
2024/1/21,13.0,8.9,4.8,-1.8,8.6,3.3
2024/1/22,12.9,8.9,2.4,-1.8,8.4,3.3
2024/1/23,12.3,9.0,1.9,-1.8,7.0,3.3
2024/1/24,6.8,9.0,-4.3,-1.9,2.2,3.3
2024/1/25,9.5,9.1,-6.3,-1.9,1.2,3.3
2024/1/26,11.5,9.1,-5.2,-1.9,2.9,3.3
2024/1/27,12.1,9.2,-3.4,-1.9,4.4,3.3
2024/1/28,9.3,9.2,-2.0,-1.9,3.4,3.3
2024/1/29,11.3,9.3,-2.4,-1.9,4.6,3.4
2024/1/30,12.6,9.4,-1.3,-1.9,5.2,3.4
2024/1/31,13.9,9.4,-1.8,-1.9,6.2,3.4
2024/2/1,17.0,9.5,3.0,-1.8,8.4,3.5
2024/2/2,6.6,9.5,2.4,-1.8,3.9,3.5
2024/2/3,11.1,9.6,-2.6,-1.7,5.2,3.6
2024/2/4,7.3,9.6,0.5,-1.7,4.0,3.6
2024/2/5,4.8,9.7,0.0,-1.6,1.5,3.7
2024/2/6,5.9,9.7,0.9,-1.6,3.1,3.7
2024/2/7,9.1,9.8,-2.3,-1.5,2.8,3.8
2024/2/8,10.3,9.8,-1.9,-1.5,3.8,3.9
2024/2/9,10.2,9.9,-1.1,-1.4,4.1,3.9
2024/2/10,11.7,10.0,-1.5,-1.3,5.1,4.0
2024/2/11,11.9,10.0,-1.5,-1.3,5.6,4.1
2024/2/12,12.8,10.1,0.4,-1.2,5.9,4.2
2024/2/13,16.9,10.1,-2.3,-1.1,6.9,4.2
2024/2/14,18.2,10.2,-0.8,-1.0,9.2,4.3
2024/2/15,21.0,10.3,2.1,-0.9,12.9,4.4
2024/2/16,16.6,10.3,6.2,-0.9,10.8,4.5
2024/2/17,11.0,10.4,4.0,-0.8,7.9,4.6
2024/2/18,16.5,10.5,7.9,-0.6,11.5,4.7
2024/2/19,17.2,10.6,6.1,-0.5,13.0,4.8
2024/2/20,23.3,10.6,12.1,-0.4,17.2,4.9
2024/2/21,12.3,10.7,7.2,-0.3,8.4,5.0
2024/2/22,8.0,10.8,3.0,-0.1,5.2,5.1
2024/2/23,3.5,10.9,0.8,0.0,2.2,5.3
2024/2/24,9.6,11.0,-0.7,0.2,4.2,5.4
2024/2/25,5.1,11.2,1.9,0.4,3.6,5.6
2024/2/26,12.0,11.3,2.4,0.5,7.1,5.7
2024/2/27,10.9,11.4,0.2,0.7,6.0,5.8
2024/2/28,15.7,11.5,-1.7,0.8,6.4,5.9
2024/2/29,11.8,11.6,-0.3,0.9,5.7,6.0
2024/3/1,16.7,11.6,2.2,0.9,8.8,6.1
2024/3/2,9.0,11.7,2.4,1.1,5.8,6.2
2024/3/3,12.9,11.8,-1.5,1.2,5.9,6.3
2024/3/4,14.3,11.9,-0.9,1.3,6.9,6.4
2024/3/5,7.8,12.0,0.5,1.3,4.2,6.5
2024/3/6,10.1,12.2,0.5,1.4,6.0,6.6
2024/3/7,9.9,12.3,4.0,1.5,6.5,6.7
2024/3/8,9.0,12.4,0.1,1.5,4.1,6.8
2024/3/9,10.0,12.6,-0.8,1.6,4.5,7.0
2024/3/10,12.5,12.8,-2.7,1.7,4.4,7.1
2024/3/11,13.3,12.9,-2.4,1.8,5.8,7.3
2024/3/12,8.5,13.1,4.4,1.9,6.0,7.4
2024/3/13,13.7,13.3,2.1,2.0,7.9,7.6
2024/3/14,15.1,13.5,-0.2,2.2,7.7,7.8
2024/3/15,16.3,13.7,0.9,2.3,9.4,7.9
2024/3/16,20.4,13.9,2.4,2.5,11.9,8.1
2024/3/17,21.9,14.0,4.5,2.7,13.9,8.3
2024/3/18,14.8,14.2,1.1,2.8,9.1,8.4
2024/3/19,13.0,14.3,-0.1,3.0,6.8,8.6
2024/3/20,13.7,14.4,0.2,3.1,6.7,8.7
2024/3/21,10.2,14.5,-0.5,3.3,5.4,8.8
2024/3/22,11.7,14.6,-3.4,3.4,4.9,8.9
2024/3/23,11.1,14.7,0.0,3.5,5.4,9.0
2024/3/24,14.4,14.8,2.0,3.7,8.9,9.1
2024/3/25,12.3,14.9,9.5,3.8,10.7,9.3
2024/3/26,10.7,15.0,6.3,3.9,8.8,9.4
2024/3/27,16.4,15.2,2.4,4.1,9.5,9.5
2024/3/28,13.4,15.3,4.7,4.2,9.1,9.7
2024/3/29,21.7,15.5,9.4,4.4,16.1,9.9
2024/3/30,24.6,15.8,7.4,4.5,16.4,10.1
2024/3/31,28.2,16.0,8.6,4.7,18.1,10.3
2024/4/1,19.5,16.2,10.4,4.9,14.4,10.5
2024/4/2,18.3,16.4,4.6,5.1,12.3,10.7
2024/4/3,13.6,16.7,10.0,5.3,11.4,10.9
2024/4/4,18.8,16.9,10.7,5.5,14.8,11.1
2024/4/5,14.4,17.1,8.3,5.7,10.0,11.3
2024/4/6,17.1,17.3,8.6,5.9,12.4,11.5
2024/4/7,23.6,17.5,11.1,6.1,16.5,11.7
2024/4/8,22.3,17.7,13.0,6.3,17.7,11.9
2024/4/9,19.8,17.9,9.2,6.5,14.7,12.1
2024/4/10,17.8,18.1,3.2,6.7,11.0,12.3
2024/4/11,19.2,18.3,4.9,7.0,12.6,12.5
2024/4/12,18.8,18.5,10.8,7.2,14.2,12.7
2024/4/13,22.9,18.7,8.6,7.4,15.7,12.9
2024/4/14,25.0,18.8,9.3,7.6,16.9,13.1
2024/4/15,26.4,19.0,9.7,7.8,17.8,13.3
2024/4/16,23.5,19.2,10.4,8.0,17.4,13.5
2024/4/17,25.4,19.4,13.9,8.3,19.9,13.6
2024/4/18,21.1,19.5,12.2,8.5,17.6,13.8
2024/4/19,23.7,19.7,10.7,8.6,17.0,14.0
2024/4/20,26.1,19.8,8.5,8.8,18.1,14.2
2024/4/21,23.2,20.0,15.5,9.0,18.4,14.3
2024/4/22,16.7,20.2,12.8,9.1,14.5,14.5
2024/4/23,17.6,20.4,13.2,9.3,15.4,14.7
2024/4/24,15.3,20.6,13.3,9.4,14.0,14.8
2024/4/25,26.5,20.8,11.7,9.5,19.1,15.0
2024/4/26,25.2,21.0,11.5,9.7,19.1,15.2
2024/4/27,23.4,21.2,15.7,9.8,18.8,15.4
2024/4/28,29.4,21.4,13.2,10.0,20.8,15.6
2024/4/29,26.0,21.6,14.1,10.2,20.4,15.8
2024/4/30,23.6,21.8,16.5,10.4,20.1,16.0
2024/5/1,20.3,22.0,10.7,10.5,15.8,16.1
2024/5/2,19.9,22.2,10.3,10.7,14.6,16.3
2024/5/3,24.0,22.3,8.7,10.9,16.4,16.5
2024/5/4,28.9,22.4,11.1,11.1,19.4,16.6
2024/5/5,28.3,22.5,11.4,11.3,20.7,16.8
2024/5/6,23.1,22.6,17.5,11.5,20.7,16.9
2024/5/7,22.6,22.7,16.9,11.6,19.3,17.0
2024/5/8,23.4,22.8,11.1,11.7,17.6,17.1
2024/5/9,19.0,22.8,8.4,11.9,12.8,17.2
2024/5/10,23.8,22.9,5.7,12.0,16.2,17.3
2024/5/11,26.8,22.9,9.9,12.1,18.9,17.4
2024/5/12,24.3,23.0,15.6,12.3,20.6,17.4
2024/5/13,20.2,23.1,14.2,12.4,17.2,17.5
2024/5/14,22.7,23.1,12.1,12.5,16.6,17.7
2024/5/15,25.4,23.3,10.1,12.7,18.1,17.8
2024/5/16,26.3,23.4,14.2,12.8,18.9,17.9
2024/5/17,26.8,23.5,10.5,12.9,19.6,18.0
2024/5/18,28.7,23.7,12.3,13.1,20.8,18.2
2024/5/19,23.6,23.8,15.6,13.3,19.6,18.3
2024/5/20,20.8,24.0,13.3,13.4,16.8,18.5
2024/5/21,28.1,24.2,15.1,13.6,21.8,18.6
2024/5/22,25.4,24.3,15.7,13.8,19.7,18.8
2024/5/23,24.7,24.5,14.0,13.9,19.5,18.9
2024/5/24,30.4,24.6,15.5,14.1,22.5,19.1
2024/5/25,23.9,24.7,17.6,14.3,19.9,19.2
2024/5/26,24.7,24.8,16.0,14.4,19.9,19.3
2024/5/27,25.9,24.8,15.0,14.6,20.9,19.4
2024/5/28,25.8,24.9,19.2,14.7,22.1,19.5
2024/5/29,27.9,25.0,17.4,14.8,22.3,19.6
2024/5/30,27.1,25.0,15.1,14.9,21.5,19.7
2024/5/31,20.8,25.1,16.4,15.1,18.5,19.8
