日付,最高気温,最高気温(平年),最低気温,最低気温(平年),平均気温,平均気温(平年)
2023/5/31,21.5,25.1,13.9,15.1,18.7,19.8
2023/6/1,24.7,25.1,11.7,15.2,19.6,19.9
2023/6/2,22.1,25.1,17.3,15.3,19.2,20.0
2023/6/3,24.6,25.2,17.0,15.4,20.1,20.0
2023/6/4,26.3,25.2,14.1,15.6,20.6,20.1
2023/6/5,29.8,25.2,15.1,15.7,21.9,20.2
2023/6/6,25.5,25.2,13.9,15.9,19.7,20.3
2023/6/7,29.2,25.3,16.0,16.1,22.3,20.4
2023/6/8,29.0,25.3,17.3,16.2,22.2,20.5
2023/6/9,22.4,25.3,16.5,16.4,19.6,20.6
2023/6/10,25.5,25.3,19.7,16.6,22.1,20.7
2023/6/11,21.9,25.4,19.8,16.8,20.7,20.8
2023/6/12,22.0,25.5,19.3,16.9,20.8,20.9
2023/6/13,29.9,25.6,19.8,17.1,23.6,21.0
2023/6/14,25.1,25.7,20.7,17.3,22.7,21.1
2023/6/15,24.7,25.8,19.8,17.4,21.6,21.3
2023/6/16,29.2,25.9,18.1,17.6,23.0,21.4
2023/6/17,31.4,26.0,16.1,17.8,24.1,21.5
2023/6/18,32.2,26.1,18.5,17.9,25.7,21.6
2023/6/19,27.8,26.2,18.7,18.1,23.2,21.7
2023/6/20,26.8,26.3,17.9,18.2,21.6,21.9
2023/6/21,26.6,26.4,16.3,18.4,21.6,22.0
2023/6/22,21.1,26.5,15.9,18.5,18.7,22.1
2023/6/23,23.3,26.6,16.2,18.7,20.2,22.3
2023/6/24,28.0,26.8,19.4,18.8,23.7,22.4
2023/6/25,30.9,27.0,18.9,19.0,24.8,22.6
2023/6/26,30.4,27.1,21.4,19.2,25.1,22.8
2023/6/27,30.0,27.3,21.9,19.3,25.2,23.0
2023/6/28,32.6,27.5,21.7,19.5,26.7,23.1
2023/6/29,33.0,27.7,22.1,19.7,27.1,23.3
2023/6/30,31.0,27.9,22.6,19.8,25.9,23.5
2023/7/1,28.7,28.1,20.3,20.0,25.3,23.7
2023/7/2,32.9,28.3,20.1,20.1,25.5,23.8
2023/7/3,33.4,28.5,19.6,20.2,26.5,24.0
2023/7/4,30.5,28.6,18.9,20.4,24.6,24.1
2023/7/5,28.5,28.8,21.3,20.5,24.8,24.2
2023/7/6,33.1,28.9,20.7,20.6,26.1,24.3
2023/7/7,35.1,29.0,21.7,20.7,27.6,24.5
2023/7/8,26.6,29.2,22.3,20.8,24.7,24.6
2023/7/9,34.2,29.3,22.6,20.9,28.4,24.7
2023/7/10,37.3,29.4,23.1,21.0,30.2,24.8
2023/7/11,35.5,29.6,23.9,21.1,30.2,24.9
2023/7/12,39.1,29.7,24.3,21.2,30.8,25.0
2023/7/13,30.0,29.8,24.1,21.3,26.8,25.1
2023/7/14,31.4,29.9,23.4,21.4,26.6,25.2
2023/7/15,32.2,30.0,24.0,21.4,28.0,25.3
2023/7/16,38.9,30.1,22.7,21.5,31.2,25.3
2023/7/17,37.3,30.2,25.4,21.6,31.4,25.4
2023/7/18,37.6,30.3,25.1,21.7,31.0,25.5
2023/7/19,35.4,30.3,25.0,21.7,29.8,25.6
2023/7/20,31.4,30.5,24.5,21.8,27.7,25.7
2023/7/21,32.1,30.6,23.4,21.9,26.2,25.8
2023/7/22,32.4,30.7,22.5,22.0,26.6,25.9
2023/7/23,33.7,30.8,22.0,22.1,27.4,26.0
2023/7/24,33.6,31.0,20.9,22.2,27.1,26.1
2023/7/25,37.3,31.1,21.2,22.3,29.0,26.2
2023/7/26,38.1,31.3,21.8,22.4,29.7,26.3
2023/7/27,36.2,31.4,24.8,22.5,29.7,26.4
2023/7/28,35.1,31.6,23.9,22.6,29.2,26.5
2023/7/29,35.9,31.7,23.5,22.6,29.1,26.6
2023/7/30,36.4,31.8,23.5,22.7,29.9,26.7
2023/7/31,35.9,31.9,25.4,22.8,30.5,26.8
2023/8/1,32.1,32.0,22.5,22.8,26.6,26.9
2023/8/2,35.3,32.1,20.7,22.8,28.0,26.9
2023/8/3,34.9,32.1,23.1,22.9,29.6,27.0
2023/8/4,37.5,32.2,24.3,22.9,31.0,27.0
2023/8/5,35.3,32.2,27.0,22.9,30.2,27.0
2023/8/6,33.4,32.2,24.6,22.9,28.0,27.0
2023/8/7,33.6,32.1,25.3,22.9,28.6,27.0
2023/8/8,34.1,32.1,24.3,22.9,28.6,27.0
2023/8/9,32.5,32.0,25.1,22.9,27.3,26.9
2023/8/10,33.3,32.0,25.3,22.9,28.9,26.9
2023/8/11,34.3,31.9,24.3,22.9,28.5,26.8
2023/8/12,35.5,31.8,24.1,22.8,29.3,26.8
2023/8/13,32.7,31.8,24.4,22.8,26.9,26.7
2023/8/14,31.6,31.7,25.7,22.7,27.9,26.6
2023/8/15,32.5,31.6,25.9,22.6,28.3,26.6
2023/8/16,31.7,31.5,25.1,22.6,27.4,26.5
2023/8/17,34.8,31.4,23.2,22.5,29.0,26.4
2023/8/18,35.3,31.4,24.5,22.4,29.5,26.4
2023/8/19,36.0,31.3,25.9,22.4,29.7,26.3
2023/8/20,34.7,31.2,24.9,22.3,29.6,26.2
2023/8/21,34.9,31.1,26.0,22.2,29.7,26.1
2023/8/22,30.0,31.0,25.5,22.1,27.3,26.0
2023/8/23,33.0,30.9,24.8,22.0,27.9,26.0
2023/8/24,33.0,30.8,24.6,22.0,28.4,25.9
2023/8/25,33.8,30.7,22.9,21.9,28.5,25.8
2023/8/26,34.0,30.6,23.5,21.8,27.5,25.7
2023/8/27,31.7,30.4,23.1,21.7,26.8,25.6
2023/8/28,35.0,30.3,24.1,21.6,28.6,25.5
2023/8/29,34.9,30.2,24.0,21.5,28.9,25.4
2023/8/30,33.8,30.1,23.8,21.4,28.7,25.3
2023/8/31,34.2,30.0,23.7,21.3,28.5,25.2
2023/9/1,33.4,29.9,21.5,21.2,27.8,25.1
2023/9/2,33.8,29.8,23.3,21.1,28.0,25.0
2023/9/3,32.7,29.7,23.8,21.0,27.9,24.9
2023/9/4,30.0,29.5,23.7,20.9,26.2,24.8
2023/9/5,35.2,29.4,23.9,20.8,29.3,24.7
2023/9/6,33.6,29.2,23.5,20.7,26.7,24.5
2023/9/7,29.8,29.1,22.4,20.6,25.8,24.4
2023/9/8,23.7,28.9,19.8,20.4,21.1,24.2
2023/9/9,27.8,28.7,21.4,20.2,24.1,24.1
2023/9/10,32.4,28.5,21.6,20.1,27.0,23.9
2023/9/11,32.4,28.3,23.1,19.9,27.3,23.7
2023/9/12,32.3,28.1,21.9,19.7,26.4,23.5
2023/9/13,33.7,27.9,20.9,19.5,26.7,23.3
2023/9/14,32.8,27.6,21.2,19.3,27.3,23.1
2023/9/15,32.8,27.4,23.8,19.1,27.3,22.9
2023/9/16,32.4,27.1,24.6,18.8,27.7,22.6
2023/9/17,33.5,26.8,24.1,18.6,28.6,22.4
2023/9/18,34.3,26.6,22.7,18.4,28.4,22.1
2023/9/19,34.3,26.3,21.7,18.1,28.5,21.9
2023/9/20,32.2,26.1,23.6,17.9,27.2,21.6
2023/9/21,28.8,25.8,23.7,17.6,25.9,21.4
2023/9/22,29.0,25.6,20.9,17.4,24.4,21.2
2023/9/23,24.5,25.3,17.8,17.2,21.2,21.0
2023/9/24,26.3,25.1,16.7,17.0,20.7,20.7
2023/9/25,26.8,24.9,15.3,16.8,20.8,20.6
2023/9/26,28.9,24.8,16.3,16.6,22.9,20.4
2023/9/27,27.5,24.6,20.9,16.5,23.9,20.2
2023/9/28,33.4,24.5,21.8,16.3,26.8,20.1
2023/9/29,30.0,24.3,22.5,16.2,25.8,19.9
2023/9/30,27.5,24.2,21.2,16.0,23.8,19.8
2023/10/1,27.0,24.0,20.6,15.9,22.7,19.6
2023/10/2,25.2,23.9,17.1,15.7,21.4,19.5
